group,mileage,avgSpeed,maxSpeed,moveTime,engineTime,parking,consumed,avgConsumed,date,day,month,year,weekday,week,turn,initialPitchAngle,initialRollAngle,initialVolFuelRalenti,initialVolFuelOptimo,initialVolSobrecarga,initialHorasRalenti,initialHorasOptimo,finalPitchAngle,finalRollAngle,finalVolFuelRalenti,finalVolFuelOptimo,finalVolFuelSobrecarga,finalHorasRalenti,finalHorasOptimo,fuelRalenti,fuelOptimo,fuelTotal,horasRalenti,horasOptimo,horasTotal,nm
(2023-01-04) Dia,36.03,3.0,49.0,0.56,3.53,9.98,100.15,0.36,2023-01-04,4,1,2023,2,1,Dia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HT61
(2023-01-04) Noche,154.1,13.0,48.0,10.43,11.15,1.71,423.37,0.36,2023-01-04,4,1,2023,2,1,Noche,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HT61
(2023-01-05) Dia,171.55,14.0,56.0,9.61,10.15,2.16,395.37,0.43,2023-01-05,5,1,2023,3,2,Dia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HT61
(2023-01-05) Noche,148.66,12.0,48.0,9.63,9.97,2.39,377.6,0.39,2023-01-05,5,1,2023,3,2,Noche,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HT61
(2023-01-06) Dia,47.3,4.0,47.0,2.55,4.54,9.41,104.92,0.45,2023-01-06,6,1,2023,4,2,Dia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HT61
(2023-01-06) Noche,171.08,14.0,52.0,14.81,10.35,1.76,492.78,0.35,2023-01-06,6,1,2023,4,2,Noche,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HT61
(2023-01-07) Dia,154.11,13.0,58.0,4.66,9.89,2.71,320.02,0.48,2023-01-07,7,1,2023,5,2,Dia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HT61
(2023-01-07) Noche,171.89,14.0,47.0,10.4,10.88,1.58,471.08,0.36,2023-01-07,7,1,2023,5,2,Noche,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HT61
(2023-01-08) Dia,58.41,5.0,47.0,7.85,4.74,8.26,156.51,0.37,2023-01-08,8,1,2023,6,2,Dia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HT61
(2023-01-08) Noche,114.57,13.0,47.0,2.71,7.17,1.66,331.25,0.35,2023-01-08,8,1,2023,6,2,Noche,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HT61
(2023-01-11) Noche,118.43,10.0,48.0,8.43,34.48,3.01,1268.43,0.09,2023-01-11,11,1,2023,2,2,Noche,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HT61
(2023-01-12) Dia,84.89,7.0,51.0,6.08,6.15,6.26,255.68,0.33,2023-01-12,12,1,2023,3,3,Dia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HT61
(2023-01-12) Noche,133.2,11.0,43.0,7.91,9.76,3.83,355.3,0.37,2023-01-12,12,1,2023,3,3,Noche,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HT61
(2023-01-13) Dia,154.27,13.0,55.0,8.8,9.66,3.08,398.46,0.39,2023-01-13,13,1,2023,4,3,Dia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HT61
(2023-01-13) Noche,45.41,4.0,49.0,2.75,3.01,9.23,115.28,0.39,2023-01-13,13,1,2023,4,3,Noche,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HT61
(2023-01-14) Dia,0.75,0.0,9.0,0.0,0.68,11.98,7.24,0.1,2023-01-14,14,1,2023,5,3,Dia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HT61
(2023-01-14) Noche,102.05,9.0,51.0,5.71,4.95,7.08,212.43,0.48,2023-01-14,14,1,2023,5,3,Noche,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HT61
(2023-01-15) Dia,167.29,14.0,52.0,9.2,10.36,2.61,456.11,0.37,2023-01-15,15,1,2023,6,3,Dia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HT61
(2023-01-15) Noche,63.01,5.0,49.0,2.31,4.52,9.05,134.79,0.47,2023-01-15,15,1,2023,6,3,Noche,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HT61
(2023-01-16) Dia,167.99,14.0,48.0,14.15,9.99,3.31,353.28,0.48,2023-01-16,16,1,2023,0,3,Dia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HT61
(2023-01-16) Noche,172.99,14.0,51.0,4.51,10.4,2.0,390.29,0.44,2023-01-16,16,1,2023,0,3,Noche,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HT61
(2023-01-17) Dia,94.42,8.0,51.0,5.71,6.44,6.26,235.75,0.4,2023-01-17,17,1,2023,1,3,Dia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HT61
(2023-01-17) Noche,93.49,8.0,45.0,5.88,6.21,6.1,223.52,0.42,2023-01-17,17,1,2023,1,3,Noche,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HT61
(2023-01-18) Dia,208.59,17.0,50.0,15.51,11.2,1.53,508.52,0.41,2023-01-18,18,1,2023,2,3,Dia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HT61
(2023-01-18) Noche,179.08,15.0,53.0,5.18,10.23,2.03,426.76,0.42,2023-01-18,18,1,2023,2,3,Noche,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HT61
(2023-01-19) Dia,25.28,2.0,41.0,1.01,2.2,9.4,68.96,0.37,2023-01-19,19,1,2023,3,4,Dia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HT61
(2023-01-19) Noche,43.39,10.0,47.0,4.3,3.04,1.92,155.47,0.28,2023-01-19,19,1,2023,3,4,Noche,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HT61
(2023-01-20) Dia,183.17,15.0,46.0,9.2,11.03,1.0,488.68,0.37,2023-01-20,20,1,2023,4,4,Dia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HT61
